,highSES,lowSES
Baseline,1.208916083916084,1.1896853146853146
bartender,1.2322261072261071,1.2354312354312351
cashier,0.9195804195804196,0.9484265734265734
chemical engineer,0.94493006993007,0.8741258741258742
chemist,0.951048951048951,0.8951048951048951
construction worker,1.1797785547785549,1.217074592074592
dentist,1.0212703962703962,0.9455128205128204
farm worker,1.0221445221445222,1.0574009324009324
janitor,0.9425990675990676,0.9822261072261071
judge,0.7246503496503497,0.6870629370629371
lawyer,0.6794871794871795,0.6325757575757576
line cook,1.12004662004662,1.1587995337995338
optometrist,0.8959790209790209,0.8365384615384616
parking attendant,0.967074592074592,0.9813519813519812
pharmacist,0.8333333333333334,0.7698135198135199
physician,0.7462121212121212,0.6899766899766899
physics teacher,0.9766899766899768,0.9184149184149184
professor,1.0425407925407926,0.9766899766899768
psychologist,0.6325757575757576,0.6139277389277389
receptionist,0.9822261072261071,0.9906759906759908
sales clerk,1.0288461538461535,1.027097902097902
scientist,0.7348484848484849,0.6777389277389277
server,0.953962703962704,0.962995337995338
taxi driver,1.1777389277389276,1.1684149184149184
truck driver,1.1567599067599068,1.1876456876456876
