,highSES,lowSES
Baseline,0.2051282051282051,0.2118298368298368
bartender,0.3735431235431235,0.3904428904428904
cashier,0.2878787878787879,0.317016317016317
chemical engineer,0.3624708624708624,0.3569347319347319
chemist,0.3511072261072261,0.3473193473193473
construction worker,0.3575174825174825,0.3758741258741259
dentist,0.3522727272727273,0.3592657342657342
farm worker,0.3484848484848485,0.377039627039627
janitor,0.3173076923076923,0.3496503496503496
judge,0.3068181818181818,0.3024475524475524
lawyer,0.3254662004662004,0.3152680652680653
line cook,0.333041958041958,0.3741258741258741
optometrist,0.3461538461538461,0.3382867132867133
parking attendant,0.2931235431235431,0.324009324009324
pharmacist,0.3187645687645687,0.3184731934731934
physician,0.3406177156177156,0.3315850815850816
physics teacher,0.3441142191142191,0.3446969696969697
professor,0.4006410256410256,0.3921911421911422
psychologist,0.3129370629370629,0.3068181818181818
receptionist,0.2864219114219114,0.3044871794871794
sales clerk,0.2937062937062937,0.3208041958041958
scientist,0.3135198135198135,0.3018648018648018
server,0.3248834498834498,0.3464452214452214
taxi driver,0.3385780885780886,0.3677156177156177
truck driver,0.340034965034965,0.3653846153846153
