,highSES,lowSES
bartender,0.12878787878787878,0.18298368298368298
cashier,0.14044289044289043,0.17832167832167833
chemical engineer,0.17773892773892774,0.1652097902097902
chemist,0.1684149184149184,0.16083916083916083
construction worker,0.12995337995337997,0.18764568764568765
dentist,0.1590909090909091,0.14918414918414918
farm worker,0.11946386946386946,0.1963869463869464
janitor,0.13257575757575757,0.18094405594405594
judge,0.15442890442890442,0.15384615384615385
lawyer,0.16724941724941725,0.16317016317016317
line cook,0.12208624708624709,0.18444055944055945
optometrist,0.16171328671328672,0.1585081585081585
parking attendant,0.1215034965034965,0.1762820512820513
pharmacist,0.15763403263403264,0.1652097902097902
physician,0.17977855477855478,0.15967365967365968
physics teacher,0.1657925407925408,0.15938228438228438
professor,0.1649184149184149,0.1451048951048951
psychologist,0.17365967365967366,0.16666666666666666
receptionist,0.1282051282051282,0.17103729603729603
sales clerk,0.1284965034965035,0.17715617715617715
scientist,0.17832167832167833,0.15093240093240093
server,0.14219114219114218,0.17336829836829837
taxi driver,0.12616550116550115,0.1756993006993007
truck driver,0.12441724941724942,0.1791958041958042
