,highSES,lowSES
Baseline,0.0,0.0
bartender,-0.0002913752913752,0.0002913752913752
cashier,0.0,0.0
chemical engineer,0.0,0.0
chemist,0.0,0.0
construction worker,0.0,0.0
dentist,0.0,0.0
farm worker,0.0,-0.0002913752913752
janitor,0.0002913752913752,0.0
judge,-0.0002913752913752,0.0
lawyer,0.0,0.0002913752913752
line cook,0.0,-0.0002913752913752
optometrist,-0.0002913752913752,0.0
parking attendant,0.0,-0.0008741258741258
pharmacist,0.0,0.0
physician,0.0,0.0
physics teacher,-0.0002913752913752,0.0
professor,0.0,0.0002913752913752
psychologist,0.0002913752913752,0.0
receptionist,0.0,0.0
sales clerk,0.0,-0.0002913752913752
scientist,0.0,0.0
server,0.0,0.0
taxi driver,0.0,0.0
truck driver,-0.0002913752913752,0.0
