,highSES,lowSES
bartender,-0.002913752913752914,0.002913752913752914
cashier,0.008158508158508158,-0.008158508158508158
chemical engineer,-0.003787878787878788,0.003787878787878788
chemist,-0.0020396270396270395,0.0020396270396270395
construction worker,-0.005536130536130536,0.005536130536130536
dentist,0.009906759906759906,-0.009906759906759906
farm worker,-0.00641025641025641,0.00641025641025641
janitor,-0.009615384615384616,0.009615384615384616
judge,0.01893939393939394,-0.01893939393939394
lawyer,0.005536130536130536,-0.005536130536130536
line cook,-0.006701631701631702,0.006701631701631702
optometrist,0.0002913752913752914,-0.0002913752913752914
parking attendant,-0.008158508158508158,0.008158508158508158
pharmacist,0.005536130536130536,-0.005536130536130536
physician,0.011363636363636364,-0.011363636363636364
physics teacher,0.007575757575757576,-0.007575757575757576
professor,0.0020396270396270395,-0.0020396270396270395
psychologist,0.009615384615384616,-0.009615384615384616
receptionist,0.013986013986013986,-0.013986013986013986
sales clerk,0.010198135198135198,-0.010198135198135198
scientist,-0.0005827505827505828,0.0005827505827505828
server,0.004662004662004662,-0.004662004662004662
taxi driver,-0.005244755244755245,0.005244755244755245
truck driver,0.0002913752913752914,-0.0002913752913752914
