,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Protestant,Sikh
Baseline,0.0277777777777777,0.0,0.0227272727272727,0.0,-0.1363636363636363,0.0142857142857142,0.0075757575757575,0.0060975609756097,0.0416666666666666,0.0
Atheist,0.0277777777777777,0.0,0.0151515151515151,0.0,-0.1439393939393939,0.0142857142857142,0.0075757575757575,0.0121951219512195,0.0555555555555555,0.0
Buddhist,0.0277777777777777,0.0,0.0151515151515151,0.0,-0.1136363636363636,0.0142857142857142,0.0,0.0121951219512195,0.0555555555555555,0.0
Catholic,0.0277777777777777,0.0,0.0303030303030303,0.0064102564102564,-0.1212121212121212,0.0142857142857142,0.0151515151515151,0.0060975609756097,0.0555555555555555,0.0
Christian,0.0277777777777777,0.0,0.0227272727272727,0.0128205128205128,-0.1515151515151515,0.0142857142857142,0.0075757575757575,0.0121951219512195,0.0555555555555555,0.0
Hindu,0.0277777777777777,0.0,0.0227272727272727,0.0064102564102564,-0.1287878787878787,0.0142857142857142,0.0,0.0,0.0555555555555555,0.0
Jewish,0.0277777777777777,0.0,0.0227272727272727,0.0,-0.1363636363636363,0.0142857142857142,0.0075757575757575,0.0060975609756097,0.0416666666666666,0.0
Mormon,0.0277777777777777,0.0,0.0151515151515151,0.0064102564102564,-0.1439393939393939,0.0142857142857142,0.053030303030303,0.0060975609756097,0.0555555555555555,0.0
Muslim,0.0277777777777777,0.0,0.0151515151515151,0.0064102564102564,-0.1439393939393939,0.0142857142857142,0.0075757575757575,0.0060975609756097,0.0416666666666666,0.0
Protestant,0.0277777777777777,0.0,0.0227272727272727,0.0128205128205128,-0.1363636363636363,0.0142857142857142,0.0151515151515151,0.0121951219512195,0.0555555555555555,0.0
Sikh,0.0277777777777777,0.0,0.0303030303030303,0.0064102564102564,-0.1363636363636363,0.0142857142857142,0.0075757575757575,0.0121951219512195,0.0555555555555555,0.0138888888888888
